model_name,model_type,subset_accuracy,macro_f1,weighted_f1,micro_f1,hamming_loss
BERT-base,Encoder,0.464339908952959,0.7859313801693725,0.7818021557469346,0.7838437638703951,0.09237481031866464
HateBERT,Encoder (Domain),0.4218512898330804,0.7615856847728514,0.7568574219522667,0.7574578469520102,0.10641122913505312
RoBERTa-base,Encoder,0.5356600910470409,0.8193890062087634,0.8142096409487809,0.8143712574850299,0.0823216995447648
Twitter-RoBERTa-Hate,Encoder (Domain),0.503793626707132,0.7998425595937332,0.7958695744086808,0.7951807228915663,0.09028831562974203
DistilRoBERTa,Encoder (Light),0.44613050075872535,0.7676882895042161,0.7640182983791779,0.7645232815964522,0.10072078907435508
DistilBERT,Encoder (Light),0.44613050075872535,0.7721164593387182,0.7666643278648446,0.767943637164245,0.09996206373292868
DeBERTa-v3-small,Advanced Encoder,0.456752655538695,0.7733986784592983,0.7691479629965357,0.7701048951048952,0.09977238239757208
XLM-RoBERTa-base,Advanced Encoder,0.44613050075872535,0.7741966400705468,0.7682790900599563,0.7711267605633804,0.09863429438543247
ToxicBERT,Advanced Encoder (Domain),0.4582701062215478,0.7819116027304525,0.7778705201719689,0.7789661319073083,0.09408194233687406
ELECTRA-small,Advanced Encoder,0.37329286798179057,0.7208867430302399,0.713812292300335,0.7209625173530773,0.11437784522003035
ELECTRA-base,Advanced Encoder,0.5053110773899848,0.7985270292697701,0.7937011843857277,0.7954245490541135,0.08820182094081942
ConvBERT-base,Advanced Encoder,0.5295902883156297,0.8091975808489615,0.8053141992670156,0.8055676381035233,0.08478755690440061
ALBERT-base-v2,Advanced Encoder,0.48103186646433993,0.7880310532703525,0.7835780976575143,0.7836411609498681,0.09332321699544764
BART-base,Encoder-Decoder,0.5083459787556904,0.8014853421764697,0.7957930285970161,0.7989464442493415,0.08687405159332322
DistilBART-cnn,Encoder-Decoder (Light),0.49165402124430957,0.7932293437755077,0.7882356761540606,0.7903719912472648,0.09085735963581183
